review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Pembelian pakai cc ribet, di tolak terus sama penyedia layanan",2,0,beli pakai cc ribet tolak sedia layan,0,2.0,0.5796,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['beli', 'pakai', 'cc', 'ribet', 'tolak', 'sedia', 'layan']"
"Kenapa saya tidak bisa verifikasi email saya?!!!, jadi kesel",1,0,verifikasi email kesel,1,2.0,0.9901,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['verifikasi', 'email', 'kesel']"
"TOP UP GAK MASUK E MONEY DIBILANG MASUK, MANAJEMEN BURUK SHOPEE",1,0,up money bilang manajemen,2,1.0,0.6612,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['up', 'money', 'bilang', 'manajemen']"
Iklan nya nyebelin anj,1,0,iklan nyebelin,3,1.0,0.4951,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['iklan', 'sebal']"
Anj..gw mau nonton ngapa kesini mulu,1,0,nonton ngapa kesini mulu,4,2.0,0.69,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['nonton', 'ngapa', 'kesini', 'melulu']"
"Saya pertama kali belanja sudah kena tipu penjual nakal. Jd id kurang selektif menyaring penjual, beda sama ol shop lain",1,0,belanja tipu jual nakal selektif nyaring jual beda ol shop,5,2.0,0.5701,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['belanja', 'tipu', 'jual', 'nakal', 'selektif', 'nyaring', 'jual', 'beda', 'online', 'shop']"
"Tolong dibantu, knpa sertifikat saya smpai skrang belum juga masuk di dashboard, pdhal pihal binus sdh kasih email sertifikat saya selesai tgl 5 september, smpaj sekarang tgl 18 belum juga masuk di dashboard, pdhal sdh lebih dri 7x24 jam",1,0,tolong bantu knpa sertifikat smpai skrang dashboard pdhal pihal bus email sertifikat tgl september smpaj tgl dashboard pdhal jam,6,1.0,0.3747,"ongkir, gratis, belanja, pakai, bintang, promo, voucher, cod, mahal, diskon","['tolong', 'bantu', 'kenapa', 'sertifikat', 'smpai', 'skrang', 'dashboard', 'pdhal', 'pihal', 'bus', 'email', 'sertifikat', 'tanggal', 'september', 'smpaj', 'tanggal', 'dashboard', 'pdhal', 'jam']"
"Pengiriman tidak tanggap, Memberikan tenggang waktu lama untuk pengiriman barang dr seller ke pelanggan! idiot!",1,0,kirim tanggap tenggang kirim barang seller langgan idiot,7,0.0,0.995,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['kirim', 'tanggap', 'tenggang', 'kirim', 'barang', 'seller', 'langgan', 'idiot']"
Aplikasinya ngga kaya dulu. Ini ribet banget,1,0,aplikasi kaya ribet,8,2.0,0.5596,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['aplikasi', 'kaya', 'ribet']"
pusat bantuan nya gak ada fitur live cht. kecewa baru pertama beli di tokopedia barang lngsung bermasalah . nnaya apa di bles apa hadehhhh macetttt.. trimksih gak akan beli disini lgi kalau bermasalah terus,1,0,pusat bantu fitur live cht beli barang lngsung nnaya bles hadehhhh macetttt trimksih beli,9,2.0,0.6418,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['pusat', 'bantu', 'fitur', 'live', 'cht', 'beli', 'barang', 'lngsung', 'nnaya', 'bles', 'hadehhhh', 'macetttt', 'trimksih', 'beli']"
Pret Klo ada barang return shope ga mau balikin,1,0,pret barang return balikin,10,0.0,0.9901,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['pret', 'barang', 'return', 'balik']"
"Barang saya blm d kirim2 pdhal sudah sebulan lebih sy order. Sy sudah komplain ktny mau d refund, tp smp skrg blm ada konfirmasi lg.",1,0,barang kirim pdhal order komplain ktny refund smp skrg konfirmasi lg,11,0.0,0.5163,"barang, kirim, cepat, murah, belanja, sesuai, harga, pesan, layan, beli","['barang', 'kirim', 'pdhal', 'order', 'komplain', 'katanya', 'refund', 'smp', 'sekarang', 'konfirmasi', 'lagi']"
woy .ini kenapa barang belum sampe tapi udah dikolom sudah diterima ? yang bener aja woyy.saya ga nerima sama sekali. niat jualan nda sih ? olshop macam apa ini. saya udah bayar woy. makan duit haram klean. emang ga seberapa tapi dimohon itikad baiknyaa .,1,0,barang sampe kolom bener woyy nerima niat jual olshop bayar makan duit haram klean itikad baiknyaa,12,2.0,0.8731,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['barang', 'sampai', 'kolom', 'benar', 'woyy', 'nerima', 'niat', 'jual', 'olshop', 'bayar', 'makan', 'duit', 'haram', 'klean', 'itikad', 'baiknyaa']"
"kecewa udah cpek"" bayar di alfamart eeeh tb"" pesanan di tolak sistem,kan dak jls",1,0,cpek bayar eeeh tb pesan tolak sistem dak jls,13,2.0,0.7956,"aplikasi, bayar, tolong, akun, iklan, pakai, tipu, beli, update, unduh","['cpek', 'bayar', 'eeeh', 'tb', 'pesan', 'tolak', 'sistem', 'dak', 'jls']"
