"review","rating","sentiment","review_processed","document_no","dominant_topic","Label","topic_perc_contrib","keywords","Text"
Aplikasinya beratbngt ga kya apk yg lain lebih ringan,2,0,aplikasi beratbngt kya apk ringan,53,0,0,0.875,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'beratbngt', 'kya', 'aplikasi', 'ringan']"
Bagussss bgt apk nyaaaa yakinnn,5,2,bagussss apk nyaaaa yakinnn,866,0,0,0.8488,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bagussss', 'aplikasi', 'nyaaaa', 'yakinnn']"
Bagussssss sekaliii dan sangat membantu pkoknya,5,2,bagussssss sekaliii bantu pkoknya,600,0,0,0.848,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bagussssss', 'sekaliii', 'bantu', 'pkoknya']"
kena tipuuu. flashsale palsuuu,1,0,tipuuu flashsale palsuuu,369,0,1,0.8124,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['tipuuu', 'flashsale', 'palsuuu']"
Aplikasi yang sangat bagus sekali??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????tapi boong??!!! Aplikasi yg jelek!!,1,0,aplikasi boong aplikasi,360,0,0,0.812,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'bohong', 'aplikasi']"
Saya suka aplikasi ini bisa dapat scar,1,0,aplikasi scar,96,0,0,0.75,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'scar']"
Udah ringan lagi aplikasi nya,3,1,ringan aplikasi,494,0,0,0.75,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['ringan', 'aplikasi']"
Aplikasinya lemmot.,3,1,aplikasi lemmot,644,0,0,0.75,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'lemmot']"
Aplikasi yg wajib dibuka tiap hari hhahhaha,5,2,aplikasi wajib hhahhaha,876,0,0,0.75,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'wajib', 'hhahhaha']"
"makin lambat ,makin berat aja aplikasi ini",3,1,berat aplikasi,547,0,0,0.7499,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['berat', 'aplikasi']"
Aplikasi mantap sangat membantu,5,2,aplikasi bantu,869,0,0,0.7408,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'bantu']"
Setiap saya buka appnya selalu minta update,1,0,appnya update,87,0,3,0.7407,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['appnya', 'update']"
Bguss bngtt apk nya tp msih ada- nya,4,2,bguss bngtt apk msih,795,0,0,0.65,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bguss', 'bngtt', 'aplikasi', 'msih']"
sangat nyaman dan apk nya sangat bagus tapi harus lebih di tinggkatkan lagi smangat trus,5,2,nyaman apk tinggkatkan smangat,827,0,0,0.6499,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['nyaman', 'aplikasi', 'tinggkatkan', 'smangat']"
"Gan ini kenapa ketika saya mau update selalu berhenti di 70% tidak mau jalan lagi, padahal sinya wifi kencang itu kenapa gan?",1,0,update henti jalan sinya wifi kencang,247,0,3,0.6371,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['update', 'henti', 'jalan', 'sinya', 'wifi', 'kencang']"
"Sesudah di update aplikasi jadi berat, di proses pembayaran koneksi timeout mulu,, padahal jaringan oke... Nyesel saya update padahal sebelum2nya lancar2",1,0,update aplikasi berat proses bayar koneksi timeout mulu jaring update lancar,317,0,0,0.6294,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['update', 'aplikasi', 'berat', 'proses', 'bayar', 'koneksi', 'timeout', 'melulu', 'jaring', 'update', 'lancar']"
Berat...berat...buka chat sussssaaaahh...,3,1,berat berat chat sussssaaaahh,691,0,3,0.6234,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['berat', 'berat', 'chat', 'sussssaaaahh']"
"udh d istal gk bisa d buka,, aplikasi jellleeeeeekk pke bngt",1,0,istal aplikasi jellleeeeeekk pke,212,0,0,0.621,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['istal', 'aplikasi', 'jellleeeeeekk', 'pke']"
Cuma kurang deksripsi untu brng ajh,3,1,deksripsi untu brng ajh,596,0,2,0.6142,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['deksripsi', 'untu', 'brng', 'ajh']"
Tingkatkan mutu aplikasi agar hp ram kecil dapat mengakses dgn baik.,3,1,tingkat mutu aplikasi hp ram akses,475,0,0,0.6013,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['tingkat', 'mutu', 'aplikasi', 'handphone', 'ram', 'akses']"
"Laen kali,kalo bikin acara di TELEVISI INDONESIA,trus benturan sama timnas INDONESIA,lu ngalah dong,ini negara lu yang maen,lu lahir disini,jangan orang luar trus yang lu bangga banggain,MANA RASA NASIONALIS LU?! SALAM SATU BANGSA!",1,0,laen bikin acara televisi indonesia bentur timnas indonesia ngalah negara maen lahir bangga banggain nasionalis bangsa,203,0,0,0.5736,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['laen', 'bikin', 'acara', 'televisi', 'indonesia', 'bentur', 'timnas', 'indonesia', 'ngalah', 'negara', 'main', 'lahir', 'bangga', 'banggain', 'nasionalis', 'bangsa']"
Aplikasi ringan tingkatkan terus,5,2,aplikasi ringan tingkat,904,0,0,0.5625,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'ringan', 'tingkat']"
bags barang ny,5,2,bags barang ny,998,0,2,0.5625,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['bags', 'barang', 'ny']"
Aplikasi yg sangat memaksa untuk di download,1,0,aplikasi paksa download,417,0,0,0.5621,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'paksa', 'unduh']"
Aku gak bisa download karena memori penuh ??????????????????????????????????????,1,0,download memori penuh,50,0,0,0.5619,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['unduh', 'memori', 'penuh']"
Saya SDH coba ikut prosedurnya dan dapat hp Samsung tp untuk seterusnya mau mendaftar langsung TDK bisa jd harus mendownload aplikasinya langsungknya jd bingung.,2,0,prosedur hp samsung daftar mendownload aplikasi langsungknya bingung,434,0,0,0.555,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['prosedur', 'handphone', 'samsung', 'daftar', 'mendownload', 'aplikasi', 'langsungknya', 'bingung']"
Aplikasi ini membuat kepala saya pusing ketika melihat istri saya yang sering menggunakan aplikasi ini ...,5,2,aplikasi kepala pusing istri aplikasi,958,0,0,0.5417,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'kepala', 'pusing', 'istri', 'aplikasi']"
Kuranggg bagusss d update ga. Bisa bisa menyebalkan,1,0,kuranggg bagusss update sebal,91,0,3,0.5355,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['kuranggg', 'bagusss', 'update', 'sebal']"
"Udah siii keren ga ada obat, obat males ke mall ya ini",5,2,siii obat obat males mall,941,0,0,0.5323,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['siii', 'obat', 'obat', 'males', 'mall']"
"Td ny mau download apk ini,,tpi di komen nya banyak yg kecewa..",1,0,ny download apk tpi komen,143,0,0,0.5203,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['ny', 'unduh', 'aplikasi', 'tapi', 'komen']"
mantap gratis. Dan bonus nya bqnyak,5,2,gratis bonus bqnyak,804,0,2,0.5144,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['gratis', 'bonus', 'bqnyak']"
"Susah didownload,apa penywbabnya.",1,0,susah didownload penywbabnya,108,0,0,0.5116,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['susah', 'didownload', 'penywbabnya']"
"Aplikasi ngerusak jangan download aplikasi ini saya baru mau buka hp saya 
jadi macet ga bisa di pencet apa"" aplikasi ngerusak",1,0,aplikasi ngerusak download aplikasi hp macet pencet aplikasi ngerusak,315,0,0,0.5108,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['aplikasi', 'ngerusak', 'unduh', 'aplikasi', 'handphone', 'macet', 'pencet', 'aplikasi', 'ngerusak']"
Ini kenapa kok aku download berkali kali udh smpe 100% malah kagak ke download?-_-,1,0,download smpe download,248,0,0,0.5037,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['unduh', 'sampai', 'unduh']"
Shopee kok sekarang jadi berat bgt ya. Sinyal bagus ram hp jga oke tp tiap buka shopee pasti ngelag dulu muter2 dulu nunggu dulu. Pdhal klo apk lain lancar terus. Tolong di perbaiki lg ya biar ga beray aplikasinya,3,1,berat sinyal ram hp ngelag muter nunggu pdhal apk lancar tolong lg beray aplikasi,500,0,0,0.4719,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['berat', 'sinyal', 'ram', 'handphone', 'ngelag', 'muter', 'tunggu', 'pdhal', 'aplikasi', 'lancar', 'tolong', 'lagi', 'beray', 'aplikasi']"
Bagus....sekarang ada acara voting buat grup kpop yg tampil bulan depannya,5,2,acara voting grup kpop tampil,835,0,0,0.4687,"aplikasi, shope, unduh, bantu, ny, lot, blnja, jangkau, neng, poko","['acara', 'voting', 'grup', 'kpop', 'tampil']"
